part_id,part_name,part_type,parent_part_id,qty_per_unit,bom_level,material,material_grade,linked_commodity,supplier_id,supplier_name,supplier_tier,country,lat,lon,unit_price_inr,quality_adj_cost_inr,lead_time_days,capacity_per_week,incoming_defect_rate,china_dependency_pct,risk_score,iatf_certified,is_primary,qualification_effort,alternate_part_ids,used_in_assemblies,main_assembly,feature_tier_impact
NM-005-SM,SmCo magnet (substitute),component,ROT-118,4.0,2,SmCo,2:17,,SMCO-KR,SmCo supplier,T2,KR,36.02,129.36,2450.0,2477.25,18,1500,0.011,40,0.5,Yes,0,NM-005,drop-in; +35% cost,"ROT-118,MTR-221","EVSED-P,EVSUV",
RM-ND,Neodymium (raw),raw_material,NM-005,0.3,3,neodymium,,RARE-EARTH,RE-CN,Rare-Earth Co,Mat,CN,23.13,113.26,9200.0,9200.0,21,10000,0.0,100,0.74,-,1,-,,"NM-005,ROT-118,MTR-221","EVSED-P,EVSUV",
HW-014,Wiring harness,sub_assembly,MTR-221,1.0,1,assembly,,,MOTHERSON,Motherson,T1,IN,28.57,77.32,0.0,0.0,0,2000,0.0,5,0.38,Yes,1,-,,MTR-221,"EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
CN-844,Harness connector,component,HW-014,12.0,2,polymer+Cu,,COPPER,SUPX-MY,Supplier X,T2,MY,5.41,100.33,38.0,38.7,18,6000,0.018,10,0.61,Yes,1,-,,"HW-014,MTR-221","EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
CW-220,Copper wire,component,HW-014,2.5,2,copper,ETP,COPPER,CU-IN,Cu wire supplier,T2,IN,28.46,77.03,640.0,644.51,10,8000,0.007,15,0.41,Yes,1,-,,"HW-014,MTR-221","EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
RM-CU,Copper (raw),raw_material,CW-220,0.85,3,copper,,COPPER,CU-LME,LME spot,Mat,-,0.0,0.0,9420.0,9420.0,7,50000,0.0,15,0.41,-,1,-,,"CW-220,HW-014,MTR-221","EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
ECU-300,Engine control unit,sub_assembly,MTR-221,1.0,1,assembly,,,BOSCH,Bosch,T1,DE,48.78,9.18,0.0,0.0,0,1500,0.0,20,0.61,Yes,1,-,,MTR-221,"EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
PROC-8G,Processor 8GB,component,ECU-300,1.0,2,silicon,auto-grade,SILICON,TSMC-TW,TSMC-linked,T2,TW,24.81,120.97,2400.0,2409.64,28,3000,0.004,0,0.66,Yes,1,PROC-4G,,"ECU-300,MTR-221","EVSED-P,ICESED,EVSUV",
PROC-4G,Processor 4GB (alternate part),component,ECU-300,1.0,2,silicon,auto-grade,SILICON,SEC-KR,Samsung-linked,T2,KR,37.26,127.03,1650.0,1659.96,21,4000,0.006,0,0.52,Yes,0,PROC-8G,"8GB->4GB: lower-end trim, reduced ADAS features","ECU-300,MTR-221","EVSED-E,ICEMPV",
RM-SI,Silicon wafer (raw),raw_material,PROC-8G,1.0,3,silicon,,SILICON,SI-TW,Wafer fab,Mat,TW,24.81,120.97,8800.0,8800.0,30,2000,0.0,0,0.58,-,1,-,,"PROC-8G,ECU-300,MTR-221","EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
BP-RWD-001,Brake-pad set RWD,sub_assembly,,1.0,0,assembly,,,BRAKES-IN,Brakes India,T1,IN,13.08,80.27,820.0,829.96,9,5000,0.012,8,0.45,Yes,1,-,,,"EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
FM-22,Friction material,component,BP-RWD-001,1.0,1,composite,NAO,,FM-CN,Friction Co,T2,CN,23.13,113.26,210.0,215.16,14,7000,0.024,80,0.58,Yes,1,FM-22-ALT,,BP-RWD-001,"EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
FM-22-ALT,Friction material (alt),component,BP-RWD-001,1.0,1,composite,NAO,,BREMBO,Brembo (alt),T1,IT,45.55,10.22,236.0,237.9,11,4000,0.008,0,0.4,Yes,0,FM-22,-,BP-RWD-001,"EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
FST-M8,M8x1.25 high-tensile fastener,component,MTR-221,24.0,1,alloy steel,10.9,STEEL,SUPA-CN,Supplier A,T2,CN,23.13,113.26,47.2,48.26,6,20000,0.022,100,0.82,Yes,1,-,,MTR-221,"EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
FST-M8,M8x1.25 high-tensile fastener,component,MTR-221,24.0,1,alloy steel,10.9,STEEL,SUNDRAM,Sundram Fasteners,T1,IN,13.08,80.27,50.03,50.28,9,15000,0.005,0,0.34,Yes,0,-,,MTR-221,"EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
FST-M8,M8x1.25 high-tensile fastener,component,MTR-221,24.0,1,alloy steel,10.9,STEEL,POSCO,POSCO ATEK,T1,KR,36.02,129.36,48.14,48.58,7,12000,0.009,0,0.45,Yes,0,-,,MTR-221,"EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
FST-M8,M8x1.25 high-tensile fastener,component,MTR-221,24.0,1,alloy steel,10.9,STEEL,PUNE-MSME,Local MSME Pune,T2,IN,18.52,73.86,45.31,46.76,16,6000,0.031,0,0.55,Pend,0,-,,MTR-221,"EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
B-4471,Stamped bracket,component,MTR-221,8.0,1,steel sheet,HRC,STEEL,SONA-BLW,Sona BLW Precision,T1,IN,28.46,77.03,51.1,51.41,8,18000,0.006,15,0.78,Yes,1,-,,MTR-221,"EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
B-4471,Stamped bracket,component,MTR-221,8.0,1,steel sheet,HRC,STEEL,MINDA,Minda Industries,T1,IN,28.46,77.03,47.2,47.87,9,16000,0.014,10,0.34,Yes,0,-,,MTR-221,"EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
RM-STEEL,Steel HRC (raw),raw_material,B-4471,0.4,2,steel,HRC,STEEL,STEEL-IN,Steel mill,Mat,IN,22.57,88.36,46.5,46.5,12,40000,0.0,10,0.29,-,1,-,,"B-4471,MTR-221","EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
PROC-8G,Processor 8GB,component,ECU-300,1.0,2,silicon,auto-grade,SILICON,ASE-TW,ASE second-source,T2,TW,24.99,121.47,2520,2548.03,20,3000,0.011,0,0.4,Yes,0,PROC-4G,,"ECU-300,MTR-221","EVSED-P,ICESED,EVSUV",
PROC-8G,Processor 8GB,component,ECU-300,1.0,2,silicon,auto-grade,SILICON,GF-US,GlobalFoundries US,T2,US,43.4,-73.75,2780,2802.42,14,3000,0.008,0,0.32,Yes,0,PROC-4G,,"ECU-300,MTR-221","EVSED-P,ICESED,EVSUV",
PROC-4G,Processor 4GB (alternate part),component,ECU-300,1.0,2,silicon,auto-grade,SILICON,UMC-TW,UMC-linked,T2,TW,24.81,120.97,1720,1740.89,15,4000,0.012,0,0.42,Yes,0,PROC-8G,"8GB->4GB: lower-end trim, reduced ADAS features","ECU-300,MTR-221","EVSED-E,ICEMPV",
CN-844,Harness connector,component,HW-014,12.0,2,polymer+Cu,,COPPER,MOLEX-IN,Molex India,T2,IN,12.97,77.59,41.0,41.5,10,6000,0.012,0,0.35,Yes,0,-,,"HW-014,MTR-221","EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
CN-844,Harness connector,component,HW-014,12.0,2,polymer+Cu,,COPPER,APTIV-IN,Aptiv India,T2,IN,39.5,-84.3,43.5,43.9,8,6000,0.009,0,0.3,Yes,0,-,,"HW-014,MTR-221","EVSED-P,EVSED-E,ICESED,EVSUV,ICEMPV",
